MCS 	 ContactEnergy 
0 	 13196.0
1 	 13268.0
2 	 13840.0
3 	 13794.0
4 	 13966.0
5 	 14400.0
6 	 14640.0
7 	 14536.0
8 	 14702.0
9 	 14634.0
10 	 14616.0
11 	 14982.0
12 	 14880.0
13 	 15154.0
14 	 15044.0
15 	 15100.0
16 	 15310.0
17 	 15378.0
18 	 15532.0
19 	 15438.0
20 	 15380.0
21 	 15594.0
22 	 15638.0
23 	 15648.0
24 	 15958.0
25 	 16170.0
26 	 16238.0
27 	 16110.0
28 	 16296.0
29 	 16040.0
30 	 16124.0
31 	 16240.0
32 	 16382.0
33 	 16606.0
34 	 16550.0
35 	 16672.0
36 	 16530.0
37 	 16468.0
38 	 16566.0
39 	 16632.0
40 	 16430.0
41 	 16492.0
42 	 16752.0
43 	 16686.0
44 	 16756.0
45 	 16602.0
46 	 16816.0
47 	 16804.0
48 	 16946.0
49 	 16964.0
50 	 17074.0
51 	 17274.0
52 	 17234.0
53 	 17122.0
54 	 17112.0
55 	 17114.0
56 	 17244.0
57 	 17040.0
58 	 17124.0
59 	 17152.0
60 	 17006.0
61 	 16854.0
62 	 16950.0
63 	 16974.0
64 	 17144.0
65 	 17088.0
66 	 16952.0
67 	 16928.0
68 	 16918.0
69 	 17048.0
70 	 17044.0
71 	 16864.0
72 	 16982.0
73 	 17038.0
74 	 17090.0
75 	 17072.0
76 	 17072.0
77 	 17126.0
78 	 17192.0
79 	 17128.0
80 	 17192.0
81 	 17214.0
82 	 17260.0
83 	 17424.0
84 	 17238.0
85 	 17222.0
86 	 17184.0
87 	 17266.0
88 	 17434.0
89 	 17250.0
90 	 17474.0
91 	 17450.0
92 	 17460.0
93 	 17366.0
94 	 17308.0
95 	 17568.0
96 	 17428.0
97 	 17516.0
98 	 17482.0
99 	 17526.0
100 	 17378.0
101 	 17438.0
102 	 17500.0
103 	 17498.0
104 	 17524.0
105 	 17500.0
106 	 17398.0
107 	 17478.0
108 	 17324.0
109 	 17544.0
110 	 17544.0
111 	 17406.0
112 	 17598.0
113 	 17348.0
114 	 17372.0
115 	 17554.0
116 	 17624.0
117 	 17444.0
118 	 17334.0
119 	 17448.0
120 	 17498.0
121 	 17658.0
122 	 17790.0
123 	 17644.0
124 	 17452.0
125 	 17514.0
126 	 17530.0
127 	 17502.0
128 	 17490.0
129 	 17510.0
130 	 17564.0
131 	 17480.0
132 	 17498.0
133 	 17498.0
134 	 17704.0
135 	 17438.0
136 	 17496.0
137 	 17476.0
138 	 17402.0
139 	 17524.0
140 	 17514.0
141 	 17728.0
142 	 17566.0
143 	 17558.0
144 	 17700.0
145 	 17504.0
146 	 17474.0
147 	 17524.0
148 	 17466.0
149 	 17654.0
150 	 17598.0
151 	 17772.0
152 	 17942.0
153 	 17670.0
154 	 17618.0
155 	 17504.0
156 	 17566.0
157 	 17628.0
158 	 17664.0
159 	 17638.0
160 	 17736.0
161 	 17792.0
162 	 17648.0
163 	 17768.0
164 	 17906.0
165 	 17862.0
166 	 17754.0
167 	 17712.0
168 	 17528.0
169 	 17552.0
170 	 17504.0
171 	 17514.0
172 	 17530.0
173 	 17652.0
174 	 17610.0
175 	 17530.0
176 	 17480.0
177 	 17598.0
178 	 17528.0
179 	 17614.0
180 	 17680.0
181 	 17506.0
182 	 17626.0
183 	 17644.0
184 	 17650.0
185 	 17678.0
186 	 17704.0
187 	 17630.0
188 	 17664.0
189 	 17728.0
190 	 17724.0
191 	 17754.0
192 	 17728.0
193 	 17696.0
194 	 17624.0
195 	 17578.0
196 	 17640.0
197 	 17762.0
198 	 17670.0
199 	 17680.0
200 	 17698.0
201 	 17702.0
202 	 17678.0
203 	 17850.0
204 	 17736.0
205 	 17624.0
206 	 17544.0
207 	 17516.0
