MCS 	 ACM 	 ANM 
0 	 77.0 	 89.0 
1 	 88.0 	 98.0 
2 	 86.0 	 108.0 
3 	 83.0 	 105.0 
4 	 94.0 	 98.0 
5 	 91.0 	 95.0 
6 	 88.0 	 96.0 
7 	 90.0 	 100.0 
8 	 91.0 	 97.0 
9 	 89.0 	 99.0 
10 	 86.0 	 96.0 
11 	 83.0 	 101.0 
12 	 79.0 	 105.0 
13 	 76.0 	 110.0 
14 	 68.0 	 112.0 
15 	 69.0 	 109.0 
16 	 73.0 	 105.0 
17 	 74.0 	 108.0 
18 	 69.0 	 113.0 
19 	 68.0 	 114.0 
20 	 66.0 	 118.0 
21 	 69.0 	 113.0 
22 	 70.0 	 114.0 
23 	 73.0 	 119.0 
24 	 75.0 	 113.0 
25 	 71.0 	 119.0 
26 	 75.0 	 115.0 
27 	 75.0 	 117.0 
28 	 74.0 	 110.0 
29 	 74.0 	 112.0 
30 	 74.0 	 116.0 
31 	 73.0 	 117.0 
32 	 75.0 	 117.0 
33 	 73.0 	 121.0 
34 	 73.0 	 113.0 
35 	 73.0 	 113.0 
36 	 73.0 	 117.0 
37 	 74.0 	 120.0 
38 	 74.0 	 118.0 
39 	 72.0 	 116.0 
40 	 70.0 	 116.0 
41 	 70.0 	 114.0 
42 	 74.0 	 112.0 
43 	 77.0 	 115.0 
44 	 75.0 	 119.0 
45 	 75.0 	 119.0 
46 	 76.0 	 120.0 
47 	 73.0 	 123.0 
48 	 72.0 	 118.0 
49 	 76.0 	 116.0 
50 	 74.0 	 116.0 
51 	 72.0 	 118.0 
52 	 77.0 	 115.0 
53 	 74.0 	 120.0 
54 	 74.0 	 120.0 
55 	 73.0 	 119.0 
56 	 71.0 	 119.0 
57 	 69.0 	 117.0 
58 	 69.0 	 117.0 
59 	 68.0 	 118.0 
60 	 67.0 	 119.0 
61 	 65.0 	 121.0 
62 	 67.0 	 119.0 
63 	 67.0 	 121.0 
64 	 65.0 	 125.0 
65 	 64.0 	 124.0 
66 	 66.0 	 122.0 
67 	 66.0 	 122.0 
68 	 65.0 	 123.0 
69 	 65.0 	 123.0 
70 	 66.0 	 124.0 
71 	 68.0 	 122.0 
72 	 68.0 	 120.0 
73 	 67.0 	 121.0 
74 	 67.0 	 121.0 
75 	 66.0 	 122.0 
76 	 66.0 	 124.0 
77 	 66.0 	 122.0 
78 	 67.0 	 121.0 
79 	 69.0 	 121.0 
80 	 71.0 	 117.0 
81 	 70.0 	 120.0 
82 	 71.0 	 119.0 
83 	 71.0 	 121.0 
84 	 68.0 	 124.0 
85 	 72.0 	 122.0 
86 	 70.0 	 124.0 
87 	 66.0 	 126.0 
88 	 69.0 	 125.0 
89 	 69.0 	 123.0 
90 	 67.0 	 125.0 
91 	 69.0 	 125.0 
92 	 70.0 	 124.0 
93 	 69.0 	 127.0 
94 	 71.0 	 127.0 
95 	 67.0 	 125.0 
96 	 67.0 	 125.0 
97 	 70.0 	 124.0 
98 	 68.0 	 126.0 
99 	 66.0 	 126.0 
100 	 67.0 	 127.0 
101 	 66.0 	 130.0 
102 	 66.0 	 132.0 
103 	 70.0 	 130.0 
104 	 68.0 	 130.0 
105 	 68.0 	 128.0 
106 	 67.0 	 131.0 
107 	 69.0 	 131.0 
108 	 68.0 	 130.0 
109 	 65.0 	 131.0 
110 	 63.0 	 135.0 
111 	 65.0 	 133.0 
112 	 66.0 	 132.0 
113 	 66.0 	 132.0 
114 	 64.0 	 136.0 
115 	 66.0 	 134.0 
116 	 66.0 	 132.0 
117 	 68.0 	 130.0 
118 	 68.0 	 130.0 
119 	 66.0 	 132.0 
120 	 64.0 	 136.0 
121 	 67.0 	 133.0 
122 	 66.0 	 132.0 
123 	 65.0 	 133.0 
124 	 68.0 	 128.0 
125 	 68.0 	 128.0 
126 	 65.0 	 133.0 
127 	 66.0 	 132.0 
128 	 66.0 	 128.0 
129 	 65.0 	 129.0 
130 	 64.0 	 132.0 
131 	 66.0 	 132.0 
132 	 65.0 	 131.0 
133 	 64.0 	 132.0 
134 	 66.0 	 132.0 
135 	 68.0 	 130.0 
136 	 68.0 	 128.0 
137 	 67.0 	 129.0 
138 	 69.0 	 127.0 
139 	 68.0 	 128.0 
140 	 67.0 	 129.0 
141 	 68.0 	 128.0 
142 	 68.0 	 128.0 
143 	 68.0 	 128.0 
144 	 69.0 	 127.0 
145 	 69.0 	 127.0 
146 	 68.0 	 128.0 
147 	 68.0 	 130.0 
148 	 67.0 	 129.0 
149 	 67.0 	 129.0 
150 	 69.0 	 129.0 
151 	 66.0 	 130.0 
152 	 68.0 	 128.0 
153 	 67.0 	 129.0 
154 	 67.0 	 129.0 
155 	 65.0 	 133.0 
156 	 66.0 	 132.0 
157 	 69.0 	 131.0 
158 	 68.0 	 128.0 
159 	 69.0 	 129.0 
160 	 68.0 	 130.0 
161 	 67.0 	 133.0 
162 	 69.0 	 129.0 
163 	 68.0 	 130.0 
164 	 68.0 	 130.0 
165 	 67.0 	 131.0 
166 	 69.0 	 129.0 
167 	 71.0 	 129.0 
168 	 69.0 	 131.0 
169 	 69.0 	 133.0 
170 	 72.0 	 132.0 
171 	 68.0 	 132.0 
172 	 67.0 	 133.0 
173 	 68.0 	 134.0 
174 	 65.0 	 133.0 
175 	 67.0 	 131.0 
176 	 68.0 	 130.0 
177 	 70.0 	 130.0 
178 	 68.0 	 132.0 
179 	 70.0 	 128.0 
180 	 68.0 	 128.0 
181 	 68.0 	 128.0 
182 	 67.0 	 129.0 
183 	 71.0 	 127.0 
184 	 68.0 	 128.0 
185 	 66.0 	 132.0 
186 	 66.0 	 134.0 
187 	 64.0 	 136.0 
188 	 67.0 	 135.0 
189 	 71.0 	 131.0 
190 	 72.0 	 130.0 
191 	 68.0 	 134.0 
192 	 63.0 	 135.0 
193 	 65.0 	 131.0 
194 	 66.0 	 132.0 
195 	 66.0 	 132.0 
196 	 66.0 	 130.0 
197 	 67.0 	 131.0 
198 	 67.0 	 129.0 
199 	 65.0 	 133.0 
200 	 66.0 	 132.0 
201 	 66.0 	 132.0 
202 	 67.0 	 131.0 
203 	 70.0 	 130.0 
204 	 71.0 	 129.0 
205 	 71.0 	 129.0 
206 	 69.0 	 129.0 
