MCS 	 ACC 	 ACN 	 ANN 
0 	 127.0 	 183.0 	 134.0 
1 	 142.0 	 194.0 	 135.0 
2 	 149.0 	 194.0 	 136.0 
3 	 156.0 	 195.0 	 142.0 
4 	 164.0 	 194.0 	 146.0 
5 	 164.0 	 207.0 	 150.0 
6 	 189.0 	 216.0 	 148.0 
7 	 180.0 	 212.0 	 152.0 
8 	 173.0 	 217.0 	 152.0 
9 	 159.0 	 219.0 	 154.0 
10 	 172.0 	 222.0 	 152.0 
11 	 157.0 	 233.0 	 157.0 
12 	 172.0 	 231.0 	 159.0 
13 	 192.0 	 230.0 	 158.0 
14 	 181.0 	 236.0 	 159.0 
15 	 159.0 	 233.0 	 162.0 
16 	 175.0 	 233.0 	 170.0 
17 	 191.0 	 226.0 	 168.0 
18 	 195.0 	 221.0 	 169.0 
19 	 185.0 	 224.0 	 172.0 
20 	 184.0 	 226.0 	 173.0 
21 	 178.0 	 231.0 	 174.0 
22 	 173.0 	 234.0 	 177.0 
23 	 182.0 	 239.0 	 173.0 
24 	 194.0 	 245.0 	 175.0 
25 	 195.0 	 237.0 	 176.0 
26 	 193.0 	 231.0 	 177.0 
27 	 205.0 	 227.0 	 184.0 
28 	 195.0 	 226.0 	 184.0 
29 	 197.0 	 228.0 	 183.0 
30 	 206.0 	 230.0 	 183.0 
31 	 212.0 	 227.0 	 183.0 
32 	 211.0 	 233.0 	 186.0 
33 	 215.0 	 237.0 	 188.0 
34 	 202.0 	 233.0 	 189.0 
35 	 216.0 	 229.0 	 187.0 
36 	 225.0 	 225.0 	 179.0 
37 	 223.0 	 230.0 	 183.0 
38 	 216.0 	 228.0 	 188.0 
39 	 215.0 	 230.0 	 186.0 
40 	 200.0 	 234.0 	 190.0 
41 	 201.0 	 236.0 	 191.0 
42 	 223.0 	 236.0 	 189.0 
43 	 212.0 	 233.0 	 196.0 
44 	 201.0 	 239.0 	 190.0 
45 	 207.0 	 239.0 	 192.0 
46 	 209.0 	 238.0 	 189.0 
47 	 207.0 	 237.0 	 194.0 
48 	 213.0 	 238.0 	 194.0 
49 	 211.0 	 234.0 	 200.0 
50 	 206.0 	 236.0 	 191.0 
51 	 210.0 	 240.0 	 195.0 
52 	 215.0 	 231.0 	 203.0 
53 	 193.0 	 234.0 	 196.0 
54 	 197.0 	 250.0 	 188.0 
55 	 199.0 	 251.0 	 188.0 
56 	 197.0 	 241.0 	 195.0 
57 	 212.0 	 235.0 	 199.0 
58 	 201.0 	 241.0 	 198.0 
59 	 189.0 	 244.0 	 195.0 
60 	 197.0 	 241.0 	 196.0 
61 	 205.0 	 243.0 	 199.0 
62 	 188.0 	 241.0 	 200.0 
63 	 211.0 	 241.0 	 196.0 
64 	 204.0 	 237.0 	 198.0 
65 	 205.0 	 242.0 	 192.0 
66 	 213.0 	 244.0 	 189.0 
67 	 203.0 	 240.0 	 191.0 
68 	 205.0 	 239.0 	 196.0 
69 	 204.0 	 241.0 	 197.0 
70 	 204.0 	 242.0 	 197.0 
71 	 218.0 	 236.0 	 199.0 
72 	 209.0 	 234.0 	 199.0 
73 	 213.0 	 233.0 	 201.0 
74 	 211.0 	 235.0 	 200.0 
75 	 211.0 	 234.0 	 199.0 
76 	 203.0 	 232.0 	 200.0 
77 	 210.0 	 234.0 	 198.0 
78 	 222.0 	 237.0 	 196.0 
79 	 233.0 	 243.0 	 193.0 
80 	 229.0 	 241.0 	 194.0 
81 	 221.0 	 242.0 	 197.0 
82 	 212.0 	 239.0 	 201.0 
83 	 230.0 	 243.0 	 204.0 
84 	 226.0 	 238.0 	 203.0 
85 	 205.0 	 242.0 	 209.0 
