MCS	NormalTCells	ActivatedTCells	TotalTCells
0	30	0	30
1	29	1	30
2	29	1	30
3	29	1	30
4	29	1	30
5	29	1	30
6	29	1	30
7	29	1	30
8	29	1	30
9	29	1	30
10	29	1	30
11	29	1	30
12	29	1	30
13	29	1	30
14	29	1	30
15	29	1	30
16	29	1	30
17	29	1	30
18	29	1	30
19	29	1	30
20	29	1	30
21	29	1	30
22	29	1	30
23	29	1	30
24	29	1	30
25	29	1	30
26	29	1	30
27	29	1	30
28	29	1	30
29	29	1	30
30	29	1	30
31	29	1	30
32	29	1	30
33	29	1	30
34	29	1	30
35	29	1	30
36	29	1	30
37	29	1	30
38	29	1	30
39	29	1	30
40	29	1	30
41	29	1	30
42	29	1	30
43	29	1	30
44	29	1	30
45	29	1	30
46	29	1	30
47	29	1	30
48	29	1	30
49	29	1	30
50	29	1	30
51	29	1	30
52	29	1	30
53	29	1	30
54	29	1	30
55	29	1	30
56	29	1	30
57	29	1	30
58	29	1	30
59	29	1	30
60	29	1	30
61	29	1	30
62	29	1	30
63	29	1	30
64	29	1	30
65	29	1	30
66	29	1	30
67	29	1	30
68	29	1	30
69	29	1	30
70	29	1	30
71	29	1	30
72	29	1	30
73	29	1	30
74	29	1	30
75	29	1	30
76	29	1	30
77	29	1	30
78	29	1	30
79	29	1	30
80	29	1	30
81	29	1	30
82	29	1	30
83	29	1	30
84	29	1	30
85	29	1	30
86	29	1	30
87	29	1	30
88	29	1	30
89	29	1	30
90	29	1	30
91	29	1	30
92	29	1	30
93	29	1	30
94	29	1	30
95	29	1	30
96	29	1	30
97	29	1	30
98	29	1	30
99	29	1	30
100	29	1	30
101	29	1	30
102	29	1	30
103	29	1	30
104	29	1	30
105	29	1	30
106	29	1	30
107	29	1	30
108	29	1	30
109	29	1	30
110	29	1	30
111	29	1	30
112	29	1	30
113	29	1	30
114	29	1	30
115	29	1	30
116	29	1	30
117	29	1	30
118	29	1	30
119	29	1	30
120	29	1	30
121	29	1	30
122	29	1	30
123	29	1	30
124	29	1	30
125	29	1	30
126	29	1	30
127	29	1	30
128	29	1	30
129	29	1	30
130	29	1	30
131	29	1	30
132	29	1	30
133	29	1	30
134	29	1	30
135	29	1	30
136	29	1	30
137	29	1	30
138	29	1	30
139	29	1	30
140	29	1	30
141	29	1	30
142	29	1	30
143	29	1	30
144	29	1	30
145	29	1	30
146	29	1	30
147	29	1	30
148	29	1	30
149	29	1	30
150	29	1	30
151	29	1	30
152	29	1	30
153	29	1	30
154	29	1	30
155	29	1	30
156	29	1	30
157	29	1	30
158	29	1	30
159	29	1	30
160	29	1	30
161	29	1	30
162	29	1	30
163	29	1	30
164	29	1	30
165	29	1	30
166	29	1	30
167	29	1	30
168	29	1	30
169	29	1	30
170	29	1	30
171	29	1	30
172	29	1	30
173	29	1	30
174	29	1	30
175	29	1	30
176	29	1	30
177	29	1	30
178	29	1	30
179	29	1	30
180	29	1	30
181	29	1	30
182	29	1	30
183	29	1	30
184	29	1	30
185	29	1	30
186	29	1	30
187	29	1	30
188	29	1	30
189	29	1	30
190	29	1	30
191	29	1	30
192	29	1	30
193	29	1	30
194	29	1	30
195	29	1	30
196	29	1	30
197	29	1	30
198	29	1	30
199	29	1	30
200	29	1	30
201	29	1	30
202	29	1	30
203	29	1	30
204	29	1	30
205	29	1	30
206	29	1	30
207	29	1	30
208	29	1	30
209	29	1	30
210	29	1	30
211	29	1	30
212	29	1	30
213	29	1	30
214	29	1	30
215	29	1	30
216	29	1	30
217	29	1	30
218	29	1	30
219	29	1	30
220	29	1	30
221	29	1	30
222	29	1	30
223	29	1	30
224	29	1	30
225	29	1	30
226	29	1	30
227	29	1	30
228	29	1	30
229	29	1	30
230	29	1	30
231	29	1	30
232	29	1	30
233	29	1	30
234	29	1	30
235	29	1	30
236	29	1	30
237	29	1	30
238	29	1	30
239	29	1	30
240	29	1	30
241	29	1	30
242	29	1	30
243	29	1	30
244	29	1	30
245	29	1	30
246	29	1	30
247	29	1	30
248	29	1	30
249	29	1	30
250	29	1	30
251	29	1	30
252	29	1	30
253	29	1	30
254	29	1	30
255	29	1	30
256	29	1	30
257	29	1	30
258	29	1	30
259	29	1	30
260	29	1	30
261	29	1	30
262	29	1	30
263	29	1	30
264	29	1	30
265	29	1	30
266	29	1	30
267	29	1	30
268	29	1	30
269	29	1	30
270	29	1	30
271	29	1	30
272	29	1	30
273	29	1	30
274	29	1	30
275	29	1	30
276	29	1	30
277	29	1	30
278	29	1	30
279	29	1	30
280	29	1	30
281	29	1	30
282	29	1	30
283	29	1	30
284	29	1	30
285	29	1	30
286	29	1	30
287	29	1	30
288	29	1	30
289	29	1	30
290	29	1	30
291	29	1	30
292	29	1	30
293	29	1	30
294	29	1	30
295	29	1	30
296	29	1	30
297	29	1	30
298	29	1	30
299	29	1	30
300	29	1	30
301	29	1	30
302	29	1	30
303	29	1	30
304	29	1	30
305	29	1	30
306	29	1	30
307	29	1	30
308	29	1	30
309	29	1	30
310	29	1	30
311	29	1	30
312	29	1	30
313	29	1	30
314	29	1	30
315	29	1	30
316	29	1	30
317	29	1	30
318	29	1	30
319	29	1	30
320	29	1	30
321	29	1	30
322	29	1	30
323	29	1	30
324	29	1	30
325	29	1	30
326	29	1	30
327	29	1	30
328	29	1	30
329	29	1	30
330	29	1	30
331	29	1	30
332	29	1	30
333	29	1	30
334	29	1	30
335	29	1	30
336	29	1	30
337	29	1	30
338	29	1	30
339	29	1	30
340	29	1	30
341	29	1	30
342	29	1	30
343	29	1	30
344	29	1	30
345	29	1	30
346	29	1	30
347	29	1	30
348	29	1	30
349	29	1	30
350	29	1	30
351	29	1	30
352	29	1	30
353	29	1	30
354	29	1	30
355	29	1	30
356	29	1	30
357	29	1	30
358	29	1	30
359	29	1	30
360	29	1	30
361	29	1	30
362	29	1	30
363	29	1	30
364	29	1	30
365	29	1	30
366	29	1	30
367	29	1	30
368	29	1	30
369	29	1	30
370	29	1	30
371	29	1	30
372	29	1	30
373	29	1	30
374	29	1	30
375	29	1	30
376	29	1	30
377	29	1	30
378	29	1	30
379	29	1	30
380	29	1	30
381	29	1	30
382	29	1	30
383	29	1	30
384	29	1	30
385	29	1	30
386	29	1	30
387	29	1	30
388	29	1	30
389	29	1	30
390	29	1	30
391	29	1	30
392	29	1	30
393	29	1	30
394	29	1	30
395	29	1	30
396	29	1	30
397	29	1	30
398	29	1	30
399	29	1	30
400	29	1	30
401	29	1	30
402	29	1	30
403	29	1	30
404	29	1	30
405	29	1	30
406	29	1	30
407	29	1	30
408	29	1	30
409	29	1	30
410	29	1	30
411	29	1	30
412	29	1	30
413	29	1	30
414	29	1	30
415	29	1	30
416	29	1	30
417	29	1	30
418	29	1	30
419	29	1	30
420	29	1	30
421	29	1	30
422	29	1	30
423	29	1	30
424	29	1	30
425	29	1	30
426	29	1	30
427	29	1	30
428	29	1	30
429	29	1	30
430	29	1	30
431	29	1	30
432	29	1	30
433	29	1	30
434	29	1	30
435	29	1	30
436	29	1	30
437	29	1	30
438	29	1	30
439	29	1	30
440	29	1	30
441	29	1	30
442	29	1	30
443	29	1	30
444	29	1	30
445	29	1	30
446	29	1	30
447	29	1	30
448	29	1	30
449	29	1	30
450	29	1	30
451	29	1	30
452	29	1	30
453	29	1	30
454	29	1	30
455	29	1	30
456	29	1	30
457	29	1	30
458	29	1	30
459	29	1	30
460	29	1	30
461	29	1	30
462	29	1	30
463	29	1	30
464	29	1	30
465	29	1	30
466	29	1	30
467	29	1	30
468	29	1	30
469	29	1	30
470	29	1	30
471	29	1	30
472	29	1	30
473	29	1	30
474	29	1	30
475	29	1	30
476	29	1	30
477	29	1	30
478	29	1	30
479	29	1	30
480	29	1	30
481	29	1	30
482	29	1	30
483	29	1	30
484	29	1	30
485	29	1	30
486	29	1	30
487	29	1	30
488	29	1	30
489	29	1	30
490	29	1	30
491	29	1	30
492	29	1	30
493	29	1	30
494	29	1	30
495	29	1	30
496	29	1	30
497	29	1	30
498	29	1	30
499	29	1	30
500	29	1	30
501	29	1	30
502	29	1	30
503	29	1	30
504	29	1	30
505	29	1	30
506	29	1	30
507	29	1	30
508	29	1	30
509	29	1	30
510	29	1	30
511	29	1	30
512	29	1	30
513	29	1	30
514	29	1	30
515	29	1	30
516	29	1	30
517	29	1	30
518	29	1	30
519	29	1	30
520	29	1	30
521	29	1	30
522	29	1	30
523	29	1	30
524	29	1	30
525	29	1	30
526	29	1	30
527	29	1	30
528	29	1	30
529	29	1	30
530	29	1	30
531	29	1	30
