MCS	ContactEnergy	VolumeEnergy	SurfaceEnergy	TotalEnergy
0	64280.0	35968.64038952437	4083.5191055655014	104332.15949508987
1	59960.0	5303.761214612605	3693.2350996175956	68956.9963142302
2	58680.0	5007.222486173705	3640.90304728481	67328.12553345851
3	58775.0	6336.385806990875	3469.8267415461305	68581.212548537
4	58575.0	7079.013284913235	3752.587766757206	69406.60105167044
5	58385.0	7113.072487384634	3831.874916878296	69329.94740426293
6	58495.0	6910.402594397747	3484.804629019345	68890.20722341709
7	58460.0	6559.592434993101	3461.522896892129	68481.11533188523
8	58400.0	7161.62478962724	3343.211533272406	68904.83632289965
9	58320.0	7419.457956029655	3518.004989697365	69257.46294572702
10	58495.0	6930.9213714562065	3289.2807671432092	68715.20213859942
11	58390.0	6417.13644246207	3448.120313323452	68255.25675578552
12	58510.0	6464.428623759159	3267.1953468634456	68241.6239706226
13	58540.0	5968.547274478333	3266.7853645037394	67775.33263898207
14	58650.0	5708.474671536096	3086.690661556786	67445.16533309288
15	58465.0	6470.171431997878	3342.798593164189	68277.97002516207
16	58395.0	6463.887227799714	3397.453706686356	68256.34093448607
17	58675.0	6757.2069359557645	3046.072155773145	68478.27909172891
18	58730.0	7100.680063607142	2989.5217545580817	68820.20181816522
19	58730.0	6519.225739171816	2952.5212627199653	68201.74700189178
20	58650.0	6394.616309146368	3208.9375241349626	68253.55383328133
21	58900.0	6278.306393892126	2807.821718721534	67986.12811261366
22	58610.0	6878.105479798251	3347.3907969337597	68835.49627673201
23	58290.0	6381.127633942378	3922.4592143650807	68593.58684830746
24	58650.0	6536.17313403447	3341.9810296583455	68528.15416369282
25	58625.0	6836.098692415835	3340.916851999209	68802.01554441504
26	58800.0	7055.9164016768045	3027.28918589346	68883.20558757026
27	58880.0	7422.733958350582	3081.5392151397828	69384.27317349036
28	58680.0	6806.93470136539	3260.197365604108	68747.1320669695
29	58680.0	6478.351051070349	3290.7053988514235	68449.05644992177
30	58960.0	6740.62558559046	2782.9690280824434	68483.5946136729
31	58760.0	6752.868412347598	3369.7103556960064	68882.5787680436
32	58840.0	6595.90426889059	3220.314579842816	68656.2188487334
33	58680.0	6563.869278876664	3415.760753367067	68659.63003224373
34	58880.0	6195.769789962069	3195.0613034551498	68270.83109341722
35	58840.0	6513.246427146805	3312.704574282252	68665.95100142906
36	59000.0	6843.107814698451	3012.322441207216	68855.43025590567
37	58785.0	6958.432146281557	3333.6771423187747	69077.10928860033
38	59025.0	6474.095177206182	3017.7332428039517	68516.82842001013
39	58825.0	6173.418326234532	3347.038021766348	68345.45634800088
40	58985.0	6564.091527143464	3115.105813232949	68664.19734037641
41	59065.0	6386.329699976923	3004.1085657139774	68455.4382656909
42	58895.0	6803.268335152388	3408.0703130380425	69106.33864819043
43	59055.0	7033.523536795838	3098.104238197411	69186.62777499325
44	58960.0	6368.485151709028	3329.8535782929685	68658.338730002
45	58880.0	6315.623959310906	3494.2817103902053	68689.90566970111
46	58960.0	6501.8645125189505	3312.403869451373	68774.26838197032
47	59240.0	6748.435220146639	2983.716189476545	68972.15140962318
48	59105.0	6689.7753216959245	3201.32307045802	68996.09839215394
49	58985.0	6446.12842373419	3498.1517728505423	68929.28019658473
50	59065.0	6561.828289383993	3361.788811189326	68988.61710057332
51	59265.0	6141.951060002757	3024.3581893054943	68431.30924930825
52	58825.0	6669.336052912258	3872.8002252051374	69367.1362781174
53	58945.0	6807.252120346384	3730.43489700809	69482.68701735447
54	58945.0	6935.793485327595	3605.406414516474	69486.19989984407
55	59145.0	7250.457698820246	3475.7110979774734	69871.16879679772
56	59385.0	6817.588373495237	3049.0092990983976	69251.59767259363
57	59625.0	7298.511841444852	2748.5225582000567	69672.03439964491
58	59545.0	7386.160994514794	2830.314276748686	69761.47527126348
59	59305.0	6521.1034596581885	3308.024869781657	69134.12832943985
60	59185.0	6698.228877683141	3455.302090368932	69338.53096805207
61	59345.0	6222.44588659014	3263.3852744956675	68830.8311610858
62	59455.0	6093.274254140415	3091.5610900851607	68639.83534422558
63	59040.0	6567.975790636701	3754.3701551569393	69362.34594579364
64	59375.0	6081.817410446674	3235.7447162119206	68692.5621266586
65	59495.0	6392.473063765647	3117.045992153435	69004.51905591908
66	59295.0	6745.209931990103	3378.5322939691832	69418.74222595929
67	59575.0	6158.807922346605	2976.9404402625514	68710.74836260916
68	59335.0	6418.874601668649	3396.9723277230514	69150.8469293917
69	59335.0	6441.481175095396	3553.5805204877397	69330.06169558314
70	59415.0	6205.864588732802	3363.3850747572433	68984.24966349005
71	59295.0	6443.9311612454185	3741.8220217048656	69480.75318295028
72	59375.0	6811.316688226507	3433.482140260021	69619.79882848653
73	59415.0	6543.6335811750905	3420.129420801968	69378.76300197706
74	59375.0	6656.003605227888	3557.6296159757476	69588.63322120364
75	59535.0	6581.553133675916	3323.8794746300846	69440.432608306
76	59535.0	5864.1007166290365	3356.542362644541	68755.64307927358
77	59255.0	5844.433402427094	3848.8636777119245	68948.29708013902
78	59415.0	5784.931791045674	3595.8236991001468	68795.75549014582
79	59495.0	6218.97856528507	3463.7157829938224	69177.69434827889
80	59655.0	6352.987757127703	3260.0526442256523	69268.04040135336
81	59775.0	5921.50003887582	3139.9343008425785	68836.4343397184
82	59375.0	6071.905928717897	3787.601802581339	69234.50773129924
83	59535.0	6521.724843463016	3627.1544452378293	69683.87928870085
84	59360.0	6252.242450530612	3968.164242102648	69580.40669263326
85	59625.0	5904.368822247343	3561.9427083925984	69091.31153063994
86	60015.0	6438.054138666921	2961.4284848084208	69414.48262347534
87	59815.0	6441.098616464151	3269.2834901069	69525.38210657105
