MCS	ContactEnergy	VolumeEnergy	SurfaceEnergy	TotalEnergy
0	31615.0	14033.07578329368	2183.4081886470085	47831.48397194069
1	29925.0	2019.2809905908507	1121.0168332796457	33065.297823870496
2	29175.0	2201.5246553779434	1533.2300083108566	32909.7546636888
3	29005.0	2453.4222332823992	1513.544483327205	32971.966716609604
4	28885.0	2763.035476623554	1710.9142063393665	33358.94968296292
5	28965.0	3278.4176690928143	1609.7642776089197	33853.181946701734
6	28725.0	3487.2635128386173	1967.6739190449007	34179.93743188352
7	28845.0	3513.9666235836194	1766.7493397495855	34125.715963333205
8	28835.0	3327.908257431336	1764.1994880451239	33927.10774547646
9	28755.0	3439.029896925713	1851.4193224276096	34045.44921935332
10	28890.0	3354.175070814308	1602.978679160151	33847.15374997446
11	28810.0	3093.7420334916533	1716.6984180545842	33620.44045154624
12	28890.0	3140.110278671127	1591.3805069923546	33621.49078566348
13	29010.0	3238.4173261891556	1422.834541780394	33671.25186796955
14	28850.0	3540.106543050133	1708.6748857819475	34098.78142883208
15	28920.0	3069.227726312165	1543.3468772884225	33532.57460360059
16	29000.0	2979.1128614488844	1337.5059633582714	33316.618824807156
17	28920.0	3638.794045323084	1448.5102848544193	34007.3043301775
18	28920.0	3605.3001659095025	1474.7781516498799	34000.07831755938
19	28840.0	3486.7558811287017	1573.520518557707	33900.27639968641
20	28920.0	3474.559845402764	1474.8852547555725	33869.44510015834
21	29000.0	2671.226669022217	1312.6708696335845	32983.8975386558
22	28920.0	2867.2714505588374	1488.8112061058928	33276.08265666473
23	28640.0	3146.5910558573523	1980.4479068404908	33767.03896269784
24	28880.0	3254.513281853797	1542.8066480690177	33677.319929922814
25	29000.0	3142.870289497878	1389.1385829329374	33532.008872430815
26	28800.0	3041.4043959893024	1707.3493279904505	33548.75372397975
27	28880.0	2962.158562448676	1624.3539217405487	33466.512484189225
28	28920.0	3214.601973751487	1618.8128755998332	33753.41484935132
29	28930.0	3405.209506301544	1519.8998447938357	33855.10935109538
30	28650.0	3391.9735993688664	2007.1647273401322	34049.138326709
31	28890.0	3655.604168114587	1597.8582390561496	34143.46240717074
32	28890.0	3480.9195948018896	1546.275875571373	33917.19547037326
33	28810.0	3115.800052160266	1786.3674473521678	33712.167499512434
34	28900.0	3321.4942431926465	1667.3570466758974	33888.851289868544
35	28745.0	2835.991631705183	1849.8982943823648	33430.88992608755
36	28665.0	3319.914509262817	1992.1968191474298	33977.11132841025
37	28850.0	3058.335583995431	1663.84993422158	33572.18551821701
38	28810.0	2906.462528022166	1763.9325755451864	33480.39510356735
39	29050.0	2835.1786344948778	1383.6589582352462	33268.837592730124
40	28760.0	2854.2189345414954	1810.9554182714783	33425.174352812974
41	28830.0	2810.599266785066	1665.6326517056004	33306.23191849067
42	28830.0	2876.2929741210974	1628.9434147999418	33335.23638892104
43	28790.0	3120.6385498967575	1769.6668343948113	33680.30538429157
44	28590.0	3155.017753755601	2061.153234871017	33806.17098862662
45	28830.0	3030.71407873962	1625.3930801803654	33486.107158919986
46	28750.0	2922.0703669508657	1784.5079026262829	33456.57826957715
47	28815.0	3054.8733234064275	1679.7173287995247	33549.59065220595
48	29055.0	2867.696098741071	1310.124373684157	33232.82047242523
49	28815.0	2980.552883628625	1686.1862264981755	33481.7391101268
50	28855.0	2850.0636655568815	1606.2792745928891	33311.34294014977
51	29055.0	2904.63821167672	1352.3346596573538	33311.972871334074
52	28775.0	3325.943125076519	1782.7796225474594	33883.72274762398
53	28855.0	3273.334332269951	1668.555665515887	33796.88999778584
54	28855.0	2682.2901200001797	1648.2809551561513	33185.57107515633
55	29015.0	2771.1713509991387	1438.7454812768556	33224.916832275994
56	28975.0	2795.575177976789	1465.8124105907336	33236.38758856752
57	28895.0	2796.1667696953373	1629.4344308788277	33320.601200574165
58	28935.0	3329.7222110546863	1566.2799467339937	33831.00215778868
59	28975.0	3284.229363688137	1493.4750266816263	33752.70439036976
60	29175.0	2917.508433284165	1243.9557814320142	33336.46421471618
61	28855.0	3136.6306097231427	1684.595209174513	33676.225818897656
62	28950.0	3178.1901312863192	1481.0326511634776	33609.2227824498
63	28950.0	2807.012513720765	1505.648938263912	33262.66145198468
64	28935.0	3071.3742005079257	1524.0166668856546	33530.39086739358
65	28935.0	2712.613616330418	1591.6038722845406	33239.21748861496
66	28935.0	2965.999926227305	1560.5036070958158	33461.50353332312
67	28960.0	3228.9490924178244	1494.1766523462866	33683.12574476411
68	28910.0	3198.148851413207	1582.0078133288916	33690.1566647421
69	28960.0	3201.1492520415777	1510.9000683048362	33672.049320346414
70	29085.0	3356.269462393757	1343.0182727270585	33784.287735120815
71	29015.0	3467.523535814471	1415.8288136169722	33898.35234943144
72	29055.0	3707.304393751474	1471.6121047049091	34233.91649845638
73	29025.0	3281.695028758477	1511.8587492983352	33818.55377805681
74	28985.0	3399.604055947784	1555.146688947425	33939.75074489521
75	29185.0	3273.460674538146	1221.436032802667	33679.89670734081
76	29225.0	3155.058364448996	1224.1876455266902	33604.246009975686
77	29225.0	3051.9314961026976	1187.1523298074317	33464.08382591013
78	28945.0	3165.2321843674144	1652.156571538726	33762.38875590614
79	29030.0	3285.326487592756	1445.215143973619	33760.541631566375
80	28720.0	2703.9294936693477	1996.9745142517058	33420.90400792105
81	28950.0	2634.5204735322477	1577.3628343285236	33161.88330786077
82	28750.0	2867.5331582605577	1895.6312608251756	33513.16441908573
83	28630.0	3198.084697207305	2127.85273422116	33955.937431428465
84	28790.0	3154.881755411552	1967.3338795980817	33912.215635009634
85	28910.0	3016.6835262937093	1645.7965078654524	33572.48003415916
86	28880.0	3501.91621834987	1805.4127896040154	34187.329007953886
87	28960.0	3448.5605978764215	1626.7228794101538	34035.283477286575
88	28960.0	3390.174594866039	1589.9069772006624	33940.0815720667
