# MSD of Non-stuck Dynabeads (H)
LagTime(MCS)	MSD
0	-2.2662182648976643e-08
100	955.5435828004665
200	1353.342532438987
300	1651.411820176122
400	1899.6430467255707
500	2197.9248265268857
600	2412.785123965005
700	2561.170737555465
800	2793.3158859975615
900	2917.5916723705645
1000	3074.113578588025
1100	3272.3194276517775
1200	3479.6846223921452
1300	3637.2320383312976
1400	3794.7694031907067
1500	3951.8609527958797
1600	4050.9892092275018
1700	4167.499053549954
1800	4243.085782902738
1900	4327.012262782112
2000	4410.906174114266
2100	4544.796286999172
2200	4637.616389690816
2300	4730.0829509237155
2400	4847.667919606753
2500	4990.312128256893
2600	5023.755674230665
2700	5090.857418025899
2800	5183.0814905129
2900	5284.527320849268
3000	5393.646367859955
3100	5477.591069262825
3200	5587.083229571775
3300	5679.9593985018655
3400	5739.305865120407
3500	5807.469130006869
3600	5909.060937974587
3700	6002.434279232332
3800	6078.606642978378
3900	6187.902152169993
4000	6314.556771296139
4100	6390.338379033383
4200	6475.060596931806
4300	6534.5458117706485
4400	6602.648112597327
4500	6611.477694589618
4600	6645.901316832277
4700	6696.549785988031
4800	6688.534047963701
4900	6781.8376794210535
5000	6841.563242348809
5100	6917.913181231692
5200	7019.769772869174
5300	7113.784149154749
5400	7181.984272710743
5500	7266.627587788651
5600	7410.812221399078
5700	7495.435562763082
5800	7588.535556967497
5900	7706.785805373379
6000	7773.857199784485
6100	7858.460442575849
6200	7934.036121860457
6300	8000.987960049315
6400	8067.886069807998
6500	8126.136722320004
6600	8176.271734713778
6700	8252.55072371851
6800	8329.034125279597
6900	8422.726781142244
7000	8482.863446885613
7100	8569.178158648625
7200	8629.462884917259
7300	8706.711567217508
7400	8783.95393752816
7500	8852.528515737247
7600	8947.79311176402
7700	9025.526746886355
7800	9094.992116325682
7900	9129.952984522532
8000	9164.87279942168
8100	9208.207728772488
8200	9259.993335063928
8300	9346.204552991718
8400	9406.723620194716
8500	9484.610594452713
8600	9544.764990835032
8700	9656.732097329028
8800	9743.010515524067
8900	9829.52639385356
9000	9881.708862419346
9100	9976.873859147883
9200	10011.73194206866
9300	10055.258259693834
9400	10146.372543565783
9500	10168.695128976886
