Start Index 	 End Index 	 rsquared 
0 	 300 	 0.9692
0 	 301 	 0.9694
0 	 302 	 0.9695
0 	 303 	 0.9696
0 	 304 	 0.9697
0 	 305 	 0.9699
0 	 306 	 0.9700
0 	 307 	 0.9702
0 	 308 	 0.9703
0 	 309 	 0.9705
0 	 310 	 0.9706
0 	 311 	 0.9708
0 	 312 	 0.9710
0 	 313 	 0.9711
0 	 314 	 0.9713
0 	 315 	 0.9715
0 	 316 	 0.9717
0 	 317 	 0.9719
0 	 318 	 0.9721
0 	 319 	 0.9723
0 	 320 	 0.9725
0 	 321 	 0.9727
0 	 322 	 0.9729
0 	 323 	 0.9731
0 	 324 	 0.9733
0 	 325 	 0.9736
0 	 326 	 0.9738
0 	 327 	 0.9740
0 	 328 	 0.9742
0 	 329 	 0.9744
0 	 330 	 0.9747
0 	 331 	 0.9749
0 	 332 	 0.9751
0 	 333 	 0.9753
0 	 334 	 0.9755
0 	 335 	 0.9757
0 	 336 	 0.9760
0 	 337 	 0.9762
0 	 338 	 0.9764
0 	 339 	 0.9766
0 	 340 	 0.9768
0 	 341 	 0.9770
0 	 342 	 0.9772
0 	 343 	 0.9774
0 	 344 	 0.9776
0 	 345 	 0.9778
0 	 346 	 0.9780
0 	 347 	 0.9782
0 	 348 	 0.9784
0 	 349 	 0.9785
0 	 350 	 0.9787
0 	 351 	 0.9789
0 	 352 	 0.9791
0 	 353 	 0.9793
0 	 354 	 0.9794
0 	 355 	 0.9796
0 	 356 	 0.9798
0 	 357 	 0.9799
0 	 358 	 0.9801
0 	 359 	 0.9803
0 	 360 	 0.9804
0 	 361 	 0.9806
0 	 362 	 0.9807
0 	 363 	 0.9809
0 	 364 	 0.9810
0 	 365 	 0.9812
0 	 366 	 0.9813
0 	 367 	 0.9814
0 	 368 	 0.9815
0 	 369 	 0.9816
0 	 370 	 0.9817
0 	 371 	 0.9818
0 	 372 	 0.9819
0 	 373 	 0.9820
0 	 374 	 0.9821
0 	 375 	 0.9821
0 	 376 	 0.9822
0 	 377 	 0.9822
0 	 378 	 0.9822
0 	 379 	 0.9823
0 	 380 	 0.9823
0 	 381 	 0.9823
0 	 382 	 0.9823
0 	 383 	 0.9823
0 	 384 	 0.9822
0 	 385 	 0.9822
0 	 386 	 0.9822
0 	 387 	 0.9821
0 	 388 	 0.9820
0 	 389 	 0.9820
0 	 390 	 0.9819
0 	 391 	 0.9818
0 	 392 	 0.9817
0 	 393 	 0.9816
0 	 394 	 0.9815
0 	 395 	 0.9813
0 	 396 	 0.9812
0 	 397 	 0.9810
0 	 398 	 0.9809
0 	 399 	 0.9808
0 	 400 	 0.9806
0 	 401 	 0.9805
0 	 402 	 0.9804
0 	 403 	 0.9803
0 	 404 	 0.9801
0 	 405 	 0.9800
0 	 406 	 0.9799
0 	 407 	 0.9797
0 	 408 	 0.9795
0 	 409 	 0.9794
0 	 410 	 0.9792
0 	 411 	 0.9790
0 	 412 	 0.9788
0 	 413 	 0.9786
0 	 414 	 0.9783
0 	 415 	 0.9781
0 	 416 	 0.9779
0 	 417 	 0.9776
0 	 418 	 0.9774
0 	 419 	 0.9772
0 	 420 	 0.9769
0 	 421 	 0.9767
0 	 422 	 0.9765
0 	 423 	 0.9763
0 	 424 	 0.9762
0 	 425 	 0.9760
0 	 426 	 0.9758
0 	 427 	 0.9756
0 	 428 	 0.9755
0 	 429 	 0.9753
0 	 430 	 0.9752
0 	 431 	 0.9750
0 	 432 	 0.9749
0 	 433 	 0.9748
0 	 434 	 0.9747
0 	 435 	 0.9746
0 	 436 	 0.9745
0 	 437 	 0.9744
0 	 438 	 0.9743
0 	 439 	 0.9742
0 	 440 	 0.9741
0 	 441 	 0.9740
0 	 442 	 0.9739
0 	 443 	 0.9738
0 	 444 	 0.9736
0 	 445 	 0.9735
0 	 446 	 0.9734
0 	 447 	 0.9732
0 	 448 	 0.9731
0 	 449 	 0.9730
0 	 450 	 0.9729
0 	 451 	 0.9729
