MCS 	 D_Dynabead 	 D_TCell 
0	0.0	0.0
1	0.0004715887038722213	0.0003828757775886921
2	0.0006115882241142326	0.0005503926910182061
3	0.0004778034637621509	0.000691533481921136
4	0.00038001328787252146	0.0006496853219769259
5	0.0003000096350146344	0.0006486916628103595
6	0.00023648859275515865	0.0006564570809892952
7	0.00021544341849126058	0.000647144055878974
8	0.00020533515013715923	0.0006172949321720243
9	0.00019726152891696592	0.0006036676569373179
10	0.0001871304034329669	0.0005738991728760689
11	0.00017481978185337444	0.0005454932620933314
12	0.00015353921057091407	0.0005270216182912934
13	0.00013637255855911216	0.000505041188080373
14	0.00012649289721794674	0.0005007359026729219
15	0.00011583317441743746	0.0004913489115519012
16	0.0001074879694688955	0.00047280586322878963
17	9.81972161585135e-05	0.00044377445144401327
18	8.939040926503527e-05	0.00042204293347982726
19	8.098469340865158e-05	0.0004072628234703367
20	7.385992546273337e-05	0.00038585362591890646
21	6.730517023591145e-05	0.0003607446229066195
22	6.369118092770153e-05	0.0003416492442788557
23	5.917135077771324e-05	0.0003221907943535734
24	5.5112445777436845e-05	0.0003027477132782014
25	5.121654699223292e-05	0.000288118289529269
26	4.750988085289894e-05	0.00027486960961465136
27	4.474503051784128e-05	0.0002660698184624076
28	4.166765952828348e-05	0.00025789660259629103
29	3.838544813703706e-05	0.0002495756149481277
30	3.625716654400902e-05	0.0002414792433334398
31	3.40362412294822e-05	0.00023393687533726517
32	3.204698409188348e-05	0.00022794368292480442
33	3.071352525343677e-05	0.00022014640308438716
34	2.9345760102970855e-05	0.00021291669844674817
35	2.8236632224753028e-05	0.00020443233605274116
36	2.6605887788822688e-05	0.00019608801125165472
37	2.527731152395674e-05	0.0001873361626374604
38	2.3897667401830617e-05	0.00017852552666810986
39	2.2593811273920606e-05	0.00017071222707591488
40	2.123029628795812e-05	0.0001639562403764665
41	2.003427471461301e-05	0.00015818791562582468
42	1.9091901666497607e-05	0.0001526992933219114
43	1.8225668391361764e-05	0.00014825497379406265
44	1.797128802582789e-05	0.00014545803026948806
45	1.7543041709548014e-05	0.00014233714727850103
46	1.706986231213998e-05	0.00014017361064733123
47	1.6655597357955567e-05	0.00013855515320686351
48	1.6332105327043567e-05	0.0001362320724555611
49	1.592460281755874e-05	0.0001331849537493713
50	1.5505222667282702e-05	0.0001285323114877575
51	1.5223662316244129e-05	0.00012438394752946693
52	1.4922249711574717e-05	0.00012102522286248743
53	1.4715638536210434e-05	0.00011814984042875688
54	1.4471007409730335e-05	0.0001154412099596443
55	1.4185483367651871e-05	0.0001134024268331832
56	1.3736111868300337e-05	0.00011191608205426974
57	1.3262558989828266e-05	0.0001106444206835714
58	1.3064562500885052e-05	0.00010953293897116111
59	1.289701138481097e-05	0.00010831575848376672
60	1.2665199414336064e-05	0.00010661649184231178
61	1.260963678744156e-05	0.00010487341675569058
62	1.2677947488379344e-05	0.00010320679877645625
63	1.2706210748035073e-05	0.00010230944165602481
64	1.2775108110560349e-05	0.00010178463182568379
65	1.288361909375592e-05	0.00010122500851502458
66	1.2999221282707692e-05	0.00010010548196216995
67	1.3100776322916013e-05	9.925368407997183e-05
68	1.310746007420175e-05	9.870060985915924e-05
69	1.3014080192124194e-05	9.819235147062299e-05
70	1.2839653379831423e-05	9.667106281346356e-05
